sku,laptop_model,component_name,component_code,manufacturer,unit_cost_usd,units_shipped,warranty_period_months,release_date
T1-DSP-0001,TravelLite 12,Display Panel,DSP,Foxlink Corp,165.21,8524,12,2022-05-23
T1-DSP-0002,TravelLite 12,Display Panel,DSP,Pegatron,26.43,14325,12,2022-01-31
AP1-SSD-0003,AeroBook Pro 14,SSD Storage,SSD,Delta Electronics,115.14,1369,36,2022-07-23
T1-FAN-0004,TravelLite 12,Cooling Fan,FAN,Delta Electronics,103.23,9615,12,2024-02-17
AA1-FAN-0005,AeroBook Air 13,Cooling Fan,FAN,Wistron,66.91,7555,24,2022-04-15
AP1-FAN-0006,AeroBook Pro 14,Cooling Fan,FAN,Foxlink Corp,84.1,11770,36,2022-09-28
AP1-CAM-0007,AeroBook Pro 14,Webcam Module,CAM,Pegatron,34.46,12903,12,2023-07-20
T1G-KB-0008,TitanForce 15 Gaming,Keyboard Assembly,KB,Pegatron,48.77,2779,12,2023-11-09
AA1-RAM-0009,AeroBook Air 13,RAM Module,RAM,Foxlink Corp,189.33,3809,24,2022-10-12
N2-KB-0010,NimbusPad 2-in-1,Keyboard Assembly,KB,Delta Electronics,86.48,7365,36,2022-10-01
T1-DSP-0011,TravelLite 12,Display Panel,DSP,Pegatron,142.62,18002,36,2022-09-08
AA1-CAM-0012,AeroBook Air 13,Webcam Module,CAM,Quanta Computer,65.23,18750,12,2023-12-03
T1G-MB-0013,TitanForce 15 Gaming,Motherboard,MB,Delta Electronics,182.22,10836,24,2022-10-02
AP1-SSD-0014,AeroBook Pro 14,SSD Storage,SSD,Pegatron,193.79,10811,12,2023-11-03
N2-FAN-0015,NimbusPad 2-in-1,Cooling Fan,FAN,Quanta Computer,38.29,5075,12,2024-02-02
WEX-RAM-0016,WorkHorse EliteBook X,RAM Module,RAM,Pegatron,98.83,19621,24,2023-01-06
AA1-BAT-0017,AeroBook Air 13,Battery,BAT,Pegatron,112.63,2043,12,2022-06-06
T1-BAT-0018,TravelLite 12,Battery,BAT,Quanta Computer,134.44,13108,24,2023-09-03
N2-RAM-0019,NimbusPad 2-in-1,RAM Module,RAM,Pegatron,190.49,876,36,2024-01-09
AP1-RAM-0020,AeroBook Pro 14,RAM Module,RAM,Wistron,31.65,14746,12,2023-04-10
AP1-RAM-0021,AeroBook Pro 14,RAM Module,RAM,Pegatron,169.54,17135,12,2024-06-10
T1-RAM-0022,TravelLite 12,RAM Module,RAM,Pegatron,137.1,5508,24,2024-02-20
AA1-MB-0023,AeroBook Air 13,Motherboard,MB,Pegatron,76.72,1138,12,2023-01-07
T1G-SSD-0024,TitanForce 15 Gaming,SSD Storage,SSD,Foxlink Corp,59.06,19091,12,2022-03-29
T1-CAM-0025,TravelLite 12,Webcam Module,CAM,Foxlink Corp,215.33,17955,12,2022-05-12
T1-CAM-0026,TravelLite 12,Webcam Module,CAM,Pegatron,43.01,17790,36,2023-03-10
AA1-SSD-0027,AeroBook Air 13,SSD Storage,SSD,Wistron,92.59,12736,24,2023-06-14
N2-DSP-0028,NimbusPad 2-in-1,Display Panel,DSP,Delta Electronics,55.64,11578,12,2023-08-26
WEX-SSD-0029,WorkHorse EliteBook X,SSD Storage,SSD,Pegatron,54.69,2826,36,2023-10-09
AP1-SSD-0030,AeroBook Pro 14,SSD Storage,SSD,Foxlink Corp,199.95,11327,12,2023-06-11
AA1-RAM-0031,AeroBook Air 13,RAM Module,RAM,Quanta Computer,53.42,4835,36,2023-08-08
WEX-CAM-0032,WorkHorse EliteBook X,Webcam Module,CAM,Delta Electronics,174.34,13838,12,2022-04-07
AP1-FAN-0033,AeroBook Pro 14,Cooling Fan,FAN,Wistron,97.8,15803,36,2022-02-25
T1-DSP-0034,TravelLite 12,Display Panel,DSP,Foxlink Corp,93.36,11618,12,2022-09-12
AA1-SSD-0035,AeroBook Air 13,SSD Storage,SSD,Pegatron,103.11,14324,12,2022-10-13
N2-SSD-0036,NimbusPad 2-in-1,SSD Storage,SSD,Foxlink Corp,101.94,18533,12,2022-02-21
T1-MB-0037,TravelLite 12,Motherboard,MB,Foxlink Corp,204.39,8245,12,2023-02-21
N2-CAM-0038,NimbusPad 2-in-1,Webcam Module,CAM,Delta Electronics,191.31,2421,12,2023-01-24
AP1-FAN-0039,AeroBook Pro 14,Cooling Fan,FAN,Wistron,204.42,15409,24,2023-03-10
T1-CAM-0040,TravelLite 12,Webcam Module,CAM,Delta Electronics,48.26,7633,12,2023-08-17
T1-MB-0041,TravelLite 12,Motherboard,MB,Wistron,20.12,19642,24,2023-05-30
WEX-BAT-0042,WorkHorse EliteBook X,Battery,BAT,Foxlink Corp,211.69,3125,12,2022-03-12
WEX-DSP-0043,WorkHorse EliteBook X,Display Panel,DSP,Delta Electronics,93.6,19167,12,2023-08-16
WEX-MB-0044,WorkHorse EliteBook X,Motherboard,MB,Pegatron,25.38,19625,36,2023-06-20
T1G-RAM-0045,TitanForce 15 Gaming,RAM Module,RAM,Delta Electronics,149.98,10795,12,2022-09-29
N2-BAT-0046,NimbusPad 2-in-1,Battery,BAT,Wistron,104.93,2877,12,2023-04-15
WEX-DSP-0047,WorkHorse EliteBook X,Display Panel,DSP,Foxlink Corp,121.98,17076,24,2022-05-16
T1G-DSP-0048,TitanForce 15 Gaming,Display Panel,DSP,Delta Electronics,86.34,5669,24,2024-05-03
WEX-RAM-0049,WorkHorse EliteBook X,RAM Module,RAM,Pegatron,216.58,17832,12,2023-11-15
WEX-RAM-0050,WorkHorse EliteBook X,RAM Module,RAM,Foxlink Corp,207.05,4900,24,2022-04-29
AP1-BAT-0051,AeroBook Pro 14,Battery,BAT,Wistron,67.73,7401,36,2022-12-18
AA1-RAM-0052,AeroBook Air 13,RAM Module,RAM,Pegatron,111.57,2164,12,2023-10-12
N2-RAM-0053,NimbusPad 2-in-1,RAM Module,RAM,Foxlink Corp,8.75,4786,36,2022-09-26
AA1-CAM-0054,AeroBook Air 13,Webcam Module,CAM,Pegatron,157.6,18879,12,2022-04-25
AP1-BAT-0055,AeroBook Pro 14,Battery,BAT,Pegatron,15.64,12598,36,2023-07-20
AA1-FAN-0056,AeroBook Air 13,Cooling Fan,FAN,Delta Electronics,16.87,12448,12,2023-01-02
AA1-SSD-0057,AeroBook Air 13,SSD Storage,SSD,Foxlink Corp,82.98,18846,24,2023-09-28
T1-BAT-0058,TravelLite 12,Battery,BAT,Delta Electronics,191.3,6301,24,2022-01-26
AA1-KB-0059,AeroBook Air 13,Keyboard Assembly,KB,Quanta Computer,178.07,8631,24,2022-06-13
T1-DSP-0060,TravelLite 12,Display Panel,DSP,Quanta Computer,192.9,15923,12,2022-07-24
N2-KB-0061,NimbusPad 2-in-1,Keyboard Assembly,KB,Wistron,181.95,7957,12,2022-01-25
T1-SSD-0062,TravelLite 12,SSD Storage,SSD,Quanta Computer,77.59,2774,24,2022-12-26
T1-FAN-0063,TravelLite 12,Cooling Fan,FAN,Pegatron,78.2,1404,12,2024-06-17
T1G-BAT-0064,TitanForce 15 Gaming,Battery,BAT,Pegatron,212.06,9198,12,2022-04-22
WEX-FAN-0065,WorkHorse EliteBook X,Cooling Fan,FAN,Wistron,162.45,10778,24,2023-09-13
WEX-DSP-0066,WorkHorse EliteBook X,Display Panel,DSP,Quanta Computer,198.7,6728,24,2022-02-15
T1-FAN-0067,TravelLite 12,Cooling Fan,FAN,Foxlink Corp,118.22,18143,36,2024-01-07
T1-SSD-0068,TravelLite 12,SSD Storage,SSD,Wistron,99.44,11319,36,2022-11-18
T1-DSP-0069,TravelLite 12,Display Panel,DSP,Wistron,115.51,13882,24,2023-02-17
T1-RAM-0070,TravelLite 12,RAM Module,RAM,Pegatron,34.99,14277,36,2023-01-24
T1-BAT-0071,TravelLite 12,Battery,BAT,Pegatron,128.65,13806,36,2024-05-03
AP1-RAM-0072,AeroBook Pro 14,RAM Module,RAM,Wistron,52.56,19504,36,2023-11-02
T1G-CAM-0073,TitanForce 15 Gaming,Webcam Module,CAM,Quanta Computer,101.74,7502,36,2023-04-30
T1-BAT-0074,TravelLite 12,Battery,BAT,Foxlink Corp,68.16,11483,12,2024-04-18
AA1-RAM-0075,AeroBook Air 13,RAM Module,RAM,Delta Electronics,178.99,5328,12,2022-02-17
AA1-CAM-0076,AeroBook Air 13,Webcam Module,CAM,Pegatron,188.14,2886,24,2023-03-01
T1-SSD-0077,TravelLite 12,SSD Storage,SSD,Quanta Computer,112.81,8494,12,2023-11-03
T1-MB-0078,TravelLite 12,Motherboard,MB,Foxlink Corp,173.03,7670,12,2024-04-03
T1-CAM-0079,TravelLite 12,Webcam Module,CAM,Foxlink Corp,126.17,4476,24,2022-05-17
N2-KB-0080,NimbusPad 2-in-1,Keyboard Assembly,KB,Quanta Computer,137.88,17040,24,2024-04-30
WEX-CAM-0081,WorkHorse EliteBook X,Webcam Module,CAM,Delta Electronics,165.65,16054,24,2022-09-23
AA1-RAM-0082,AeroBook Air 13,RAM Module,RAM,Pegatron,110.73,8339,24,2023-03-27
AP1-RAM-0083,AeroBook Pro 14,RAM Module,RAM,Delta Electronics,65.6,10976,36,2022-03-24
AA1-BAT-0084,AeroBook Air 13,Battery,BAT,Delta Electronics,89.2,5507,36,2022-08-08
AP1-FAN-0085,AeroBook Pro 14,Cooling Fan,FAN,Quanta Computer,78.15,15767,24,2022-03-05
AA1-FAN-0086,AeroBook Air 13,Cooling Fan,FAN,Quanta Computer,199.83,19639,36,2022-01-21
WEX-FAN-0087,WorkHorse EliteBook X,Cooling Fan,FAN,Quanta Computer,9.25,12026,24,2024-02-11
N2-FAN-0088,NimbusPad 2-in-1,Cooling Fan,FAN,Pegatron,166.47,18395,36,2022-08-14
N2-SSD-0089,NimbusPad 2-in-1,SSD Storage,SSD,Wistron,100.4,1451,24,2022-12-11
T1-FAN-0090,TravelLite 12,Cooling Fan,FAN,Delta Electronics,186.19,4682,36,2023-07-01
AP1-FAN-0091,AeroBook Pro 14,Cooling Fan,FAN,Pegatron,127.65,1388,12,2023-10-21
N2-BAT-0092,NimbusPad 2-in-1,Battery,BAT,Quanta Computer,46.53,9024,24,2022-12-02
AA1-CAM-0093,AeroBook Air 13,Webcam Module,CAM,Wistron,79.55,12923,24,2024-02-10
N2-RAM-0094,NimbusPad 2-in-1,RAM Module,RAM,Foxlink Corp,107.71,18175,12,2022-12-25
AA1-DSP-0095,AeroBook Air 13,Display Panel,DSP,Foxlink Corp,167.9,8602,12,2024-05-09
AP1-BAT-0096,AeroBook Pro 14,Battery,BAT,Delta Electronics,34.76,4248,36,2022-08-12
N2-RAM-0097,NimbusPad 2-in-1,RAM Module,RAM,Wistron,43.57,4253,12,2022-11-15
AP1-MB-0098,AeroBook Pro 14,Motherboard,MB,Wistron,130.07,12798,24,2024-01-03
AA1-DSP-0099,AeroBook Air 13,Display Panel,DSP,Pegatron,154.41,8457,12,2023-12-15
T1G-DSP-0100,TitanForce 15 Gaming,Display Panel,DSP,Pegatron,173.92,11877,36,2023-03-15
T1-KB-0101,TravelLite 12,Keyboard Assembly,KB,Foxlink Corp,115.26,11681,12,2024-05-19
N2-CAM-0102,NimbusPad 2-in-1,Webcam Module,CAM,Foxlink Corp,99.91,12368,36,2024-04-28
N2-BAT-0103,NimbusPad 2-in-1,Battery,BAT,Quanta Computer,45.34,17596,36,2022-10-04
WEX-CAM-0104,WorkHorse EliteBook X,Webcam Module,CAM,Quanta Computer,100.34,19914,24,2022-11-27
AA1-DSP-0105,AeroBook Air 13,Display Panel,DSP,Wistron,194.91,8490,24,2023-08-07
WEX-FAN-0106,WorkHorse EliteBook X,Cooling Fan,FAN,Wistron,14.08,11150,12,2023-05-15
AA1-KB-0107,AeroBook Air 13,Keyboard Assembly,KB,Wistron,80.15,9552,36,2022-01-11
WEX-SSD-0108,WorkHorse EliteBook X,SSD Storage,SSD,Foxlink Corp,59.17,13817,24,2023-07-23
AA1-CAM-0109,AeroBook Air 13,Webcam Module,CAM,Quanta Computer,103.01,1065,12,2022-10-29
AA1-FAN-0110,AeroBook Air 13,Cooling Fan,FAN,Delta Electronics,72.92,19556,24,2023-04-30
WEX-KB-0111,WorkHorse EliteBook X,Keyboard Assembly,KB,Quanta Computer,219.29,18535,24,2022-12-27
T1-CAM-0112,TravelLite 12,Webcam Module,CAM,Wistron,73.0,8054,12,2024-01-09
AA1-KB-0113,AeroBook Air 13,Keyboard Assembly,KB,Foxlink Corp,165.49,6566,12,2022-08-10
T1-CAM-0114,TravelLite 12,Webcam Module,CAM,Wistron,161.61,17691,36,2022-10-17
AP1-SSD-0115,AeroBook Pro 14,SSD Storage,SSD,Wistron,56.23,6379,24,2022-01-15
T1-BAT-0116,TravelLite 12,Battery,BAT,Wistron,17.65,2286,36,2022-10-27
T1-BAT-0117,TravelLite 12,Battery,BAT,Quanta Computer,29.75,901,36,2022-10-19
N2-CAM-0118,NimbusPad 2-in-1,Webcam Module,CAM,Quanta Computer,80.23,2183,24,2024-06-01
N2-DSP-0119,NimbusPad 2-in-1,Display Panel,DSP,Foxlink Corp,92.95,2927,36,2023-10-07
T1-MB-0120,TravelLite 12,Motherboard,MB,Delta Electronics,39.63,18943,24,2022-03-29
AA1-DSP-0121,AeroBook Air 13,Display Panel,DSP,Pegatron,170.06,7895,36,2023-01-25
N2-CAM-0122,NimbusPad 2-in-1,Webcam Module,CAM,Wistron,190.36,14551,24,2023-08-06
WEX-MB-0123,WorkHorse EliteBook X,Motherboard,MB,Pegatron,211.54,3751,12,2023-10-03
AA1-RAM-0124,AeroBook Air 13,RAM Module,RAM,Foxlink Corp,41.3,6195,36,2022-03-18
AA1-MB-0125,AeroBook Air 13,Motherboard,MB,Quanta Computer,103.51,19958,24,2022-10-26
AP1-SSD-0126,AeroBook Pro 14,SSD Storage,SSD,Wistron,157.87,15377,12,2023-12-05
AA1-RAM-0127,AeroBook Air 13,RAM Module,RAM,Pegatron,148.17,6982,24,2022-04-28
WEX-SSD-0128,WorkHorse EliteBook X,SSD Storage,SSD,Delta Electronics,200.58,5160,12,2022-03-03
AA1-RAM-0129,AeroBook Air 13,RAM Module,RAM,Pegatron,166.78,19151,24,2023-03-26
AP1-CAM-0130,AeroBook Pro 14,Webcam Module,CAM,Wistron,156.34,9420,36,2023-07-07
N2-CAM-0131,NimbusPad 2-in-1,Webcam Module,CAM,Foxlink Corp,134.78,14656,36,2022-11-27
WEX-RAM-0132,WorkHorse EliteBook X,RAM Module,RAM,Foxlink Corp,27.36,19348,36,2022-01-22
T1-RAM-0133,TravelLite 12,RAM Module,RAM,Pegatron,16.53,6240,24,2023-06-16
T1-CAM-0134,TravelLite 12,Webcam Module,CAM,Wistron,46.48,19680,24,2023-10-13
N2-DSP-0135,NimbusPad 2-in-1,Display Panel,DSP,Quanta Computer,81.77,11421,24,2023-11-18
AP1-BAT-0136,AeroBook Pro 14,Battery,BAT,Wistron,95.27,16735,24,2023-11-10
N2-MB-0137,NimbusPad 2-in-1,Motherboard,MB,Quanta Computer,26.67,8770,24,2022-04-29
N2-MB-0138,NimbusPad 2-in-1,Motherboard,MB,Pegatron,105.94,2276,12,2023-06-15
T1G-CAM-0139,TitanForce 15 Gaming,Webcam Module,CAM,Quanta Computer,169.12,7170,24,2023-07-17
AA1-RAM-0140,AeroBook Air 13,RAM Module,RAM,Quanta Computer,194.74,16383,12,2022-01-30
T1-SSD-0141,TravelLite 12,SSD Storage,SSD,Delta Electronics,73.88,948,36,2023-02-22
AP1-SSD-0142,AeroBook Pro 14,SSD Storage,SSD,Foxlink Corp,105.83,4349,36,2024-05-02
AA1-CAM-0143,AeroBook Air 13,Webcam Module,CAM,Wistron,115.88,9459,24,2024-05-04
N2-CAM-0144,NimbusPad 2-in-1,Webcam Module,CAM,Delta Electronics,104.84,5239,24,2022-07-15
WEX-BAT-0145,WorkHorse EliteBook X,Battery,BAT,Foxlink Corp,66.56,14096,24,2024-03-17
WEX-RAM-0146,WorkHorse EliteBook X,RAM Module,RAM,Foxlink Corp,67.96,10283,36,2023-08-17
T1-CAM-0147,TravelLite 12,Webcam Module,CAM,Delta Electronics,102.67,16370,24,2022-12-07
WEX-FAN-0148,WorkHorse EliteBook X,Cooling Fan,FAN,Quanta Computer,205.76,6681,36,2022-09-02
WEX-FAN-0149,WorkHorse EliteBook X,Cooling Fan,FAN,Delta Electronics,189.47,13960,12,2022-11-22
T1-CAM-0150,TravelLite 12,Webcam Module,CAM,Quanta Computer,89.85,5484,24,2022-02-07
