claim_id,sku,laptop_model,component_name,claim_date,failure_symptom,days_in_service_at_failure,repair_cost_usd,resolution
WC-00001,WEX-FAN-0271,WorkHorse EliteBook X,Cooling Fan,2026-04-13,Fan not spinning,966,179.64,Refunded
WC-00002,N2-KB-0061,NimbusPad 2-in-1,Keyboard Assembly,2024-06-12,Sticky keys,537,148.04,Refunded
WC-00003,T1-FAN-0154,TravelLite 12,Cooling Fan,2024-04-02,Fan not spinning,527,145.31,Repaired
WC-00004,T1-FAN-0067,TravelLite 12,Cooling Fan,2024-12-27,Loud grinding noise,61,95.19,Pending
WC-00005,N2-FAN-0088,NimbusPad 2-in-1,Cooling Fan,2024-01-09,Loud grinding noise,451,53.17,Refunded
WC-00006,WEX-CAM-0219,WorkHorse EliteBook X,Webcam Module,2026-02-21,Blurry/no image,384,27.89,Replaced
WC-00007,T1G-DSP-0172,TitanForce 15 Gaming,Display Panel,2024-07-18,Screen flicker,576,97.25,Pending
WC-00008,AP1-FAN-0156,AeroBook Pro 14,Cooling Fan,2026-02-21,Overheating,296,250.21,Replaced
WC-00009,T1-MB-0041,TravelLite 12,Motherboard,2024-04-09,Overheating / thermal shutdown,392,241.55,Refunded
WC-00010,T1-BAT-0169,TravelLite 12,Battery,2025-01-09,Won't hold charge,213,186.7,Pending
WC-00011,T1-FAN-0154,TravelLite 12,Cooling Fan,2024-02-16,Loud grinding noise,150,218.37,Pending
WC-00012,AA1-BAT-0159,AeroBook Air 13,Battery,2024-06-01,Battery not detected,924,161.92,Refunded
WC-00013,T1-BAT-0278,TravelLite 12,Battery,2024-11-22,Won't hold charge,412,297.33,Refunded
WC-00014,T1G-SSD-0181,TitanForce 15 Gaming,SSD Storage,2025-06-03,Drive not detected,555,154.61,Refunded
WC-00015,WEX-FAN-0149,WorkHorse EliteBook X,Cooling Fan,2024-01-18,Fan not spinning,349,207.03,Pending
WC-00016,WEX-KB-0176,WorkHorse EliteBook X,Keyboard Assembly,2026-03-26,Backlight failure,903,211.09,Replaced
WC-00017,T1-KB-0182,TravelLite 12,Keyboard Assembly,2024-09-28,Backlight failure,811,292.04,Repaired
WC-00018,T1-FAN-0218,TravelLite 12,Cooling Fan,2025-08-20,Fan not spinning,184,164.41,Pending
WC-00019,N2-BAT-0046,NimbusPad 2-in-1,Battery,2025-11-28,Won't hold charge,42,178.18,Replaced
WC-00020,N2-KB-0061,NimbusPad 2-in-1,Keyboard Assembly,2025-03-27,Sticky keys,438,58.16,Repaired
WC-00021,AA1-MB-0125,AeroBook Air 13,Motherboard,2026-03-04,Overheating / thermal shutdown,903,256.79,Replaced
WC-00022,N2-FAN-0211,NimbusPad 2-in-1,Cooling Fan,2025-06-15,Loud grinding noise,584,107.64,Pending
WC-00023,N2-RAM-0161,NimbusPad 2-in-1,RAM Module,2024-11-17,Blue screen / crashes,480,274.96,Refunded
WC-00024,WEX-MB-0166,WorkHorse EliteBook X,Motherboard,2025-11-23,No display output,634,152.99,Repaired
WC-00025,WEX-FAN-0087,WorkHorse EliteBook X,Cooling Fan,2024-11-01,Loud grinding noise,974,292.28,Refunded
WC-00026,T1-BAT-0235,TravelLite 12,Battery,2025-12-22,Won't hold charge,716,215.92,Refunded
WC-00027,WEX-FAN-0149,WorkHorse EliteBook X,Cooling Fan,2025-07-27,Overheating,290,97.02,Pending
WC-00028,AP1-FAN-0269,AeroBook Pro 14,Cooling Fan,2025-02-08,Fan not spinning,987,235.32,Repaired
WC-00029,N2-SSD-0089,NimbusPad 2-in-1,SSD Storage,2024-10-21,Drive not detected,90,113.71,Pending
WC-00030,AA1-FAN-0197,AeroBook Air 13,Cooling Fan,2026-02-04,Fan not spinning,229,72.59,Refunded
WC-00031,AA1-DSP-0280,AeroBook Air 13,Display Panel,2025-12-13,Screen flicker,150,46.13,Repaired
WC-00032,T1-SSD-0077,TravelLite 12,SSD Storage,2025-11-16,Drive not detected,241,196.81,Replaced
WC-00033,T1-DSP-0034,TravelLite 12,Display Panel,2024-12-04,Backlight bleed,493,43.66,Repaired
WC-00034,T1-FAN-0004,TravelLite 12,Cooling Fan,2025-07-17,Loud grinding noise,426,201.07,Pending
WC-00035,WEX-FAN-0149,WorkHorse EliteBook X,Cooling Fan,2024-07-23,Fan not spinning,338,96.34,Replaced
WC-00036,T1-KB-0272,TravelLite 12,Keyboard Assembly,2024-04-01,Backlight failure,597,81.18,Replaced
WC-00037,T1G-FAN-0275,TitanForce 15 Gaming,Cooling Fan,2024-06-28,Fan not spinning,913,253.72,Replaced
WC-00038,AP1-MB-0300,AeroBook Pro 14,Motherboard,2025-02-10,Overheating / thermal shutdown,200,281.93,Refunded
WC-00039,AA1-MB-0264,AeroBook Air 13,Motherboard,2024-01-10,No display output,591,186.79,Refunded
WC-00040,N2-FAN-0088,NimbusPad 2-in-1,Cooling Fan,2025-10-18,Overheating,546,155.77,Repaired
WC-00041,AA1-FAN-0258,AeroBook Air 13,Cooling Fan,2025-04-24,Fan not spinning,207,245.51,Refunded
WC-00042,AA1-RAM-0052,AeroBook Air 13,RAM Module,2025-04-14,Memory not detected,745,68.07,Refunded
WC-00043,T1-FAN-0238,TravelLite 12,Cooling Fan,2025-08-04,Overheating,785,70.05,Pending
WC-00044,AP1-FAN-0250,AeroBook Pro 14,Cooling Fan,2025-06-11,Fan not spinning,98,129.24,Replaced
WC-00045,AA1-KB-0059,AeroBook Air 13,Keyboard Assembly,2024-05-23,Sticky keys,341,281.71,Replaced
WC-00046,AA1-BAT-0084,AeroBook Air 13,Battery,2024-08-29,Swelling detected,781,91.09,Refunded
WC-00047,AP1-FAN-0091,AeroBook Pro 14,Cooling Fan,2026-01-10,Overheating,21,89.54,Refunded
WC-00048,T1G-KB-0209,TitanForce 15 Gaming,Keyboard Assembly,2024-03-04,Backlight failure,131,147.64,Repaired
WC-00049,AA1-RAM-0124,AeroBook Air 13,RAM Module,2025-05-29,Memory not detected,716,48.46,Refunded
WC-00050,AA1-KB-0113,AeroBook Air 13,Keyboard Assembly,2024-08-14,Keys unresponsive,990,53.07,Repaired
WC-00051,T1-SSD-0141,TravelLite 12,SSD Storage,2025-09-12,Data corruption,435,215.05,Pending
WC-00052,WEX-MB-0229,WorkHorse EliteBook X,Motherboard,2026-04-01,Random shutdowns,790,85.53,Replaced
WC-00053,WEX-BAT-0162,WorkHorse EliteBook X,Battery,2025-06-24,Battery not detected,380,37.26,Replaced
WC-00054,T1-BAT-0018,TravelLite 12,Battery,2025-07-14,Battery not detected,217,178.22,Repaired
WC-00055,N2-RAM-0053,NimbusPad 2-in-1,RAM Module,2026-05-24,Memory not detected,129,208.88,Pending
WC-00056,AA1-RAM-0031,AeroBook Air 13,RAM Module,2025-06-06,Memory not detected,838,30.86,Repaired
WC-00057,T1G-FAN-0158,TitanForce 15 Gaming,Cooling Fan,2025-04-12,Overheating,69,174.26,Refunded
WC-00058,T1-FAN-0218,TravelLite 12,Cooling Fan,2025-02-09,Fan not spinning,846,15.86,Repaired
WC-00059,WEX-DSP-0174,WorkHorse EliteBook X,Display Panel,2024-02-16,Screen flicker,362,214.61,Replaced
WC-00060,N2-DSP-0281,NimbusPad 2-in-1,Display Panel,2024-03-11,Screen flicker,42,96.82,Repaired
WC-00061,T1G-DSP-0234,TitanForce 15 Gaming,Display Panel,2026-02-23,Backlight bleed,756,199.08,Pending
WC-00062,T1-BAT-0116,TravelLite 12,Battery,2025-01-26,Swelling detected,900,276.38,Pending
WC-00063,T1-BAT-0116,TravelLite 12,Battery,2025-11-30,Battery not detected,905,168.7,Refunded
WC-00064,AP1-FAN-0039,AeroBook Pro 14,Cooling Fan,2025-07-04,Fan not spinning,551,51.29,Repaired
WC-00065,T1G-BAT-0252,TitanForce 15 Gaming,Battery,2026-02-13,Won't hold charge,315,146.96,Pending
WC-00066,T1-FAN-0163,TravelLite 12,Cooling Fan,2026-04-23,Loud grinding noise,263,146.28,Repaired
WC-00067,AA1-FAN-0086,AeroBook Air 13,Cooling Fan,2026-06-15,Overheating,793,47.16,Pending
WC-00068,AA1-BAT-0187,AeroBook Air 13,Battery,2024-01-17,Won't hold charge,221,34.18,Replaced
WC-00069,N2-MB-0138,NimbusPad 2-in-1,Motherboard,2025-11-19,Won't power on,260,226.05,Pending
WC-00070,N2-MB-0137,NimbusPad 2-in-1,Motherboard,2025-07-06,Random shutdowns,782,261.16,Replaced
WC-00071,WEX-MB-0044,WorkHorse EliteBook X,Motherboard,2024-10-23,Random shutdowns,845,276.17,Refunded
WC-00072,T1-FAN-0173,TravelLite 12,Cooling Fan,2026-03-02,Overheating,848,106.39,Refunded
WC-00073,AA1-MB-0264,AeroBook Air 13,Motherboard,2025-11-07,Random shutdowns,433,100.64,Replaced
WC-00074,T1-MB-0168,TravelLite 12,Motherboard,2025-08-28,Random shutdowns,651,208.44,Pending
WC-00075,N2-FAN-0015,NimbusPad 2-in-1,Cooling Fan,2024-12-18,Overheating,697,123.63,Refunded
WC-00076,WEX-MB-0210,WorkHorse EliteBook X,Motherboard,2025-02-22,Random shutdowns,317,122.29,Pending
WC-00077,T1-SSD-0077,TravelLite 12,SSD Storage,2024-08-18,Data corruption,888,216.66,Pending
WC-00078,T1G-FAN-0275,TitanForce 15 Gaming,Cooling Fan,2025-07-29,Fan not spinning,436,173.83,Repaired
WC-00079,T1-MB-0120,TravelLite 12,Motherboard,2024-09-18,Random shutdowns,348,199.31,Pending
WC-00080,AP1-SSD-0257,AeroBook Pro 14,SSD Storage,2024-04-04,Drive not detected,751,251.38,Replaced
WC-00081,AP1-FAN-0085,AeroBook Pro 14,Cooling Fan,2025-11-20,Overheating,627,26.27,Replaced
WC-00082,T1-DSP-0060,TravelLite 12,Display Panel,2026-02-18,Backlight bleed,751,206.36,Repaired
WC-00083,WEX-FAN-0149,WorkHorse EliteBook X,Cooling Fan,2026-06-09,Fan not spinning,320,287.75,Replaced
WC-00084,WEX-FAN-0065,WorkHorse EliteBook X,Cooling Fan,2024-07-13,Overheating,130,227.86,Pending
WC-00085,T1G-FAN-0275,TitanForce 15 Gaming,Cooling Fan,2025-12-13,Overheating,730,73.29,Repaired
WC-00086,T1-MB-0168,TravelLite 12,Motherboard,2026-03-05,No display output,399,147.88,Refunded
WC-00087,N2-BAT-0092,NimbusPad 2-in-1,Battery,2025-01-03,Battery not detected,913,156.72,Replaced
WC-00088,T1-BAT-0242,TravelLite 12,Battery,2026-01-09,Swelling detected,789,254.32,Repaired
WC-00089,T1-CAM-0114,TravelLite 12,Webcam Module,2025-02-27,Camera not detected,586,261.26,Repaired
WC-00090,AA1-FAN-0005,AeroBook Air 13,Cooling Fan,2025-07-20,Overheating,603,220.2,Refunded
WC-00091,T1G-DSP-0048,TitanForce 15 Gaming,Display Panel,2024-12-03,Dead pixels,398,177.39,Repaired
WC-00092,T1-FAN-0154,TravelLite 12,Cooling Fan,2025-11-01,Overheating,355,88.34,Pending
WC-00093,AA1-FAN-0294,AeroBook Air 13,Cooling Fan,2025-10-19,Overheating,512,146.34,Refunded
WC-00094,AP1-BAT-0055,AeroBook Pro 14,Battery,2026-01-07,Battery not detected,510,67.45,Replaced
WC-00095,N2-RAM-0161,NimbusPad 2-in-1,RAM Module,2026-05-09,Blue screen / crashes,977,248.13,Replaced
WC-00096,T1G-FAN-0233,TitanForce 15 Gaming,Cooling Fan,2025-02-26,Loud grinding noise,872,194.75,Replaced
WC-00097,N2-FAN-0211,NimbusPad 2-in-1,Cooling Fan,2024-01-10,Loud grinding noise,527,144.96,Replaced
WC-00098,AA1-BAT-0187,AeroBook Air 13,Battery,2025-11-13,Battery not detected,944,152.71,Pending
WC-00099,AA1-FAN-0005,AeroBook Air 13,Cooling Fan,2025-06-28,Overheating,431,18.38,Refunded
WC-00100,T1-FAN-0163,TravelLite 12,Cooling Fan,2024-10-20,Loud grinding noise,524,246.75,Pending
WC-00101,AA1-CAM-0243,AeroBook Air 13,Webcam Module,2024-07-02,Camera not detected,950,42.45,Repaired
WC-00102,T1-SSD-0077,TravelLite 12,SSD Storage,2025-09-26,Drive not detected,268,247.34,Refunded
WC-00103,T1G-DSP-0240,TitanForce 15 Gaming,Display Panel,2024-03-21,Screen flicker,992,130.72,Repaired
WC-00104,T1G-SSD-0299,TitanForce 15 Gaming,SSD Storage,2024-08-19,Data corruption,710,251.0,Replaced
WC-00105,AA1-FAN-0197,AeroBook Air 13,Cooling Fan,2026-05-28,Overheating,787,24.03,Pending
WC-00106,T1-BAT-0117,TravelLite 12,Battery,2025-07-19,Swelling detected,67,196.47,Repaired
WC-00107,AA1-SSD-0027,AeroBook Air 13,SSD Storage,2026-05-15,Data corruption,670,238.55,Replaced
WC-00108,AP1-FAN-0269,AeroBook Pro 14,Cooling Fan,2024-02-13,Loud grinding noise,226,271.86,Pending
WC-00109,AP1-FAN-0085,AeroBook Pro 14,Cooling Fan,2024-03-17,Overheating,957,94.91,Replaced
WC-00110,AA1-SSD-0057,AeroBook Air 13,SSD Storage,2026-05-20,Data corruption,26,289.02,Repaired
WC-00111,WEX-MB-0229,WorkHorse EliteBook X,Motherboard,2025-12-30,Overheating / thermal shutdown,961,36.93,Repaired
WC-00112,AA1-SSD-0170,AeroBook Air 13,SSD Storage,2025-08-03,Data corruption,703,270.51,Refunded
WC-00113,N2-CAM-0118,NimbusPad 2-in-1,Webcam Module,2026-01-27,Camera not detected,819,296.72,Replaced
WC-00114,T1-FAN-0154,TravelLite 12,Cooling Fan,2024-12-20,Loud grinding noise,110,139.57,Replaced
WC-00115,WEX-CAM-0104,WorkHorse EliteBook X,Webcam Module,2026-02-26,Blurry/no image,802,108.02,Refunded
WC-00116,N2-KB-0237,NimbusPad 2-in-1,Keyboard Assembly,2025-04-06,Sticky keys,243,116.41,Pending
WC-00117,AP1-BAT-0136,AeroBook Pro 14,Battery,2025-11-27,Battery not detected,686,123.32,Refunded
WC-00118,T1G-BAT-0241,TitanForce 15 Gaming,Battery,2025-12-31,Won't hold charge,94,91.37,Pending
WC-00119,T1-RAM-0213,TravelLite 12,RAM Module,2025-10-11,Blue screen / crashes,767,126.04,Refunded
WC-00120,T1-MB-0037,TravelLite 12,Motherboard,2024-01-06,No display output,465,117.58,Refunded
WC-00121,AA1-SSD-0035,AeroBook Air 13,SSD Storage,2024-03-30,Boot failure,451,142.92,Pending
WC-00122,N2-SSD-0036,NimbusPad 2-in-1,SSD Storage,2024-04-01,Data corruption,577,41.52,Refunded
WC-00123,T1G-RAM-0260,TitanForce 15 Gaming,RAM Module,2024-01-13,Memory not detected,433,125.52,Replaced
WC-00124,T1-FAN-0218,TravelLite 12,Cooling Fan,2025-07-26,Loud grinding noise,595,163.51,Pending
WC-00125,AP1-BAT-0055,AeroBook Pro 14,Battery,2024-10-02,Swelling detected,284,155.54,Replaced
WC-00126,AP1-BAT-0055,AeroBook Pro 14,Battery,2024-10-09,Swelling detected,316,153.01,Replaced
WC-00127,AA1-FAN-0110,AeroBook Air 13,Cooling Fan,2024-09-09,Overheating,650,156.3,Repaired
WC-00128,AA1-CAM-0143,AeroBook Air 13,Webcam Module,2024-05-18,Blurry/no image,16,285.41,Refunded
WC-00129,AA1-BAT-0254,AeroBook Air 13,Battery,2025-01-24,Swelling detected,460,110.4,Repaired
WC-00130,AP1-FAN-0091,AeroBook Pro 14,Cooling Fan,2025-09-09,Overheating,215,151.52,Repaired
WC-00131,AA1-FAN-0294,AeroBook Air 13,Cooling Fan,2024-11-22,Fan not spinning,762,213.06,Pending
WC-00132,AA1-FAN-0294,AeroBook Air 13,Cooling Fan,2026-03-11,Loud grinding noise,343,122.18,Pending
WC-00133,WEX-KB-0111,WorkHorse EliteBook X,Keyboard Assembly,2025-07-31,Keys unresponsive,616,299.22,Repaired
WC-00134,WEX-MB-0205,WorkHorse EliteBook X,Motherboard,2025-07-17,Won't power on,985,222.26,Repaired
WC-00135,N2-MB-0137,NimbusPad 2-in-1,Motherboard,2024-10-25,Won't power on,848,256.62,Pending
WC-00136,AP1-RAM-0204,AeroBook Pro 14,RAM Module,2024-05-22,Memory not detected,257,87.01,Repaired
WC-00137,AP1-CAM-0215,AeroBook Pro 14,Webcam Module,2026-03-19,Blurry/no image,85,142.98,Pending
WC-00138,WEX-KB-0176,WorkHorse EliteBook X,Keyboard Assembly,2025-07-01,Backlight failure,955,277.31,Pending
WC-00139,WEX-MB-0166,WorkHorse EliteBook X,Motherboard,2026-03-20,No display output,728,270.22,Replaced
WC-00140,T1-MB-0037,TravelLite 12,Motherboard,2024-09-11,No display output,180,199.39,Replaced
WC-00141,AA1-SSD-0170,AeroBook Air 13,SSD Storage,2025-10-22,Drive not detected,672,128.89,Refunded
WC-00142,AA1-FAN-0294,AeroBook Air 13,Cooling Fan,2025-03-16,Loud grinding noise,20,43.1,Repaired
WC-00143,T1-RAM-0157,TravelLite 12,RAM Module,2025-06-15,Blue screen / crashes,466,121.62,Pending
WC-00144,T1-BAT-0235,TravelLite 12,Battery,2025-08-25,Battery not detected,522,57.96,Replaced
WC-00145,AA1-KB-0151,AeroBook Air 13,Keyboard Assembly,2024-10-29,Sticky keys,952,289.09,Replaced
WC-00146,AP1-KB-0251,AeroBook Pro 14,Keyboard Assembly,2026-01-17,Keys unresponsive,366,103.89,Pending
WC-00147,N2-KB-0237,NimbusPad 2-in-1,Keyboard Assembly,2025-06-17,Sticky keys,366,150.71,Pending
WC-00148,T1-FAN-0218,TravelLite 12,Cooling Fan,2025-04-08,Fan not spinning,78,100.58,Replaced
WC-00149,AP1-FAN-0006,AeroBook Pro 14,Cooling Fan,2024-12-17,Overheating,121,207.98,Repaired
WC-00150,T1-BAT-0278,TravelLite 12,Battery,2026-01-28,Won't hold charge,538,64.72,Repaired
WC-00151,T1-KB-0101,TravelLite 12,Keyboard Assembly,2025-03-12,Sticky keys,247,242.36,Repaired
WC-00152,AA1-KB-0059,AeroBook Air 13,Keyboard Assembly,2025-11-04,Sticky keys,415,23.32,Repaired
WC-00153,N2-MB-0138,NimbusPad 2-in-1,Motherboard,2025-03-15,Overheating / thermal shutdown,14,215.85,Repaired
WC-00154,WEX-FAN-0087,WorkHorse EliteBook X,Cooling Fan,2025-12-21,Loud grinding noise,601,44.0,Repaired
WC-00155,T1-CAM-0112,TravelLite 12,Webcam Module,2024-07-20,Blurry/no image,126,89.77,Pending
WC-00156,WEX-BAT-0162,WorkHorse EliteBook X,Battery,2025-10-16,Swelling detected,621,125.76,Pending
WC-00157,N2-RAM-0177,NimbusPad 2-in-1,RAM Module,2024-12-22,Memory not detected,875,145.49,Repaired
WC-00158,N2-BAT-0246,NimbusPad 2-in-1,Battery,2025-12-23,Swelling detected,950,190.13,Replaced
WC-00159,T1-CAM-0203,TravelLite 12,Webcam Module,2024-11-16,Camera not detected,254,102.03,Repaired
WC-00160,T1-BAT-0116,TravelLite 12,Battery,2024-05-24,Battery not detected,407,134.2,Repaired
WC-00161,T1-FAN-0173,TravelLite 12,Cooling Fan,2025-03-09,Loud grinding noise,508,196.12,Repaired
WC-00162,T1-MB-0168,TravelLite 12,Motherboard,2025-05-16,No display output,153,68.32,Pending
WC-00163,AP1-BAT-0188,AeroBook Pro 14,Battery,2026-06-05,Swelling detected,984,17.73,Repaired
WC-00164,T1-FAN-0063,TravelLite 12,Cooling Fan,2025-01-28,Overheating,527,201.12,Pending
WC-00165,T1-FAN-0207,TravelLite 12,Cooling Fan,2025-03-01,Overheating,870,141.5,Repaired
WC-00166,T1-CAM-0026,TravelLite 12,Webcam Module,2024-02-01,Camera not detected,309,24.32,Repaired
WC-00167,N2-DSP-0164,NimbusPad 2-in-1,Display Panel,2024-06-21,Screen flicker,589,226.62,Pending
WC-00168,T1G-SSD-0167,TitanForce 15 Gaming,SSD Storage,2024-04-25,Drive not detected,126,91.35,Refunded
WC-00169,WEX-MB-0166,WorkHorse EliteBook X,Motherboard,2026-02-13,Won't power on,788,219.91,Repaired
WC-00170,T1G-FAN-0298,TitanForce 15 Gaming,Cooling Fan,2024-04-14,Overheating,859,201.3,Repaired
WC-00171,T1-FAN-0090,TravelLite 12,Cooling Fan,2024-02-03,Fan not spinning,279,114.34,Replaced
WC-00172,N2-MB-0137,NimbusPad 2-in-1,Motherboard,2024-04-30,Random shutdowns,224,246.05,Refunded
WC-00173,AP1-MB-0259,AeroBook Pro 14,Motherboard,2025-09-16,Overheating / thermal shutdown,179,190.6,Repaired
WC-00174,N2-BAT-0246,NimbusPad 2-in-1,Battery,2026-04-04,Won't hold charge,593,114.98,Refunded
WC-00175,T1-KB-0182,TravelLite 12,Keyboard Assembly,2024-06-21,Sticky keys,730,98.4,Refunded
WC-00176,AA1-RAM-0289,AeroBook Air 13,RAM Module,2025-06-10,Blue screen / crashes,148,289.39,Pending
WC-00177,T1G-KB-0276,TitanForce 15 Gaming,Keyboard Assembly,2024-10-10,Backlight failure,139,214.91,Repaired
WC-00178,T1-MB-0078,TravelLite 12,Motherboard,2025-12-29,No display output,858,85.55,Pending
WC-00179,N2-MB-0152,NimbusPad 2-in-1,Motherboard,2025-08-14,No display output,652,133.05,Pending
WC-00180,AA1-MB-0023,AeroBook Air 13,Motherboard,2026-03-24,Won't power on,422,161.95,Refunded
WC-00181,T1G-KB-0209,TitanForce 15 Gaming,Keyboard Assembly,2026-06-17,Sticky keys,475,285.82,Refunded
WC-00182,T1-KB-0175,TravelLite 12,Keyboard Assembly,2026-06-08,Backlight failure,105,223.32,Pending
WC-00183,N2-FAN-0193,NimbusPad 2-in-1,Cooling Fan,2025-12-15,Fan not spinning,880,33.05,Pending
WC-00184,T1-FAN-0067,TravelLite 12,Cooling Fan,2025-03-15,Loud grinding noise,516,91.53,Refunded
WC-00185,N2-BAT-0103,NimbusPad 2-in-1,Battery,2025-08-14,Won't hold charge,589,257.94,Refunded
WC-00186,AP1-FAN-0269,AeroBook Pro 14,Cooling Fan,2026-02-19,Loud grinding noise,57,43.38,Pending
WC-00187,AA1-FAN-0005,AeroBook Air 13,Cooling Fan,2026-05-28,Loud grinding noise,461,145.11,Pending
WC-00188,T1G-BAT-0064,TitanForce 15 Gaming,Battery,2025-12-06,Won't hold charge,913,200.25,Repaired
WC-00189,AA1-MB-0264,AeroBook Air 13,Motherboard,2026-06-16,No display output,105,201.56,Refunded
WC-00190,T1-CAM-0026,TravelLite 12,Webcam Module,2025-11-11,Camera not detected,63,127.96,Refunded
WC-00191,T1-FAN-0218,TravelLite 12,Cooling Fan,2026-02-12,Loud grinding noise,449,201.81,Replaced
WC-00192,T1-DSP-0001,TravelLite 12,Display Panel,2025-05-03,Dead pixels,145,184.2,Pending
WC-00193,T1-FAN-0004,TravelLite 12,Cooling Fan,2025-12-13,Fan not spinning,846,49.37,Pending
WC-00194,T1G-KB-0209,TitanForce 15 Gaming,Keyboard Assembly,2025-05-04,Keys unresponsive,244,124.17,Replaced
WC-00195,N2-SSD-0036,NimbusPad 2-in-1,SSD Storage,2025-01-11,Data corruption,150,124.08,Repaired
WC-00196,T1G-BAT-0194,TitanForce 15 Gaming,Battery,2025-11-24,Won't hold charge,80,166.19,Replaced
WC-00197,WEX-SSD-0185,WorkHorse EliteBook X,SSD Storage,2024-06-17,Data corruption,369,220.89,Repaired
WC-00198,T1G-KB-0276,TitanForce 15 Gaming,Keyboard Assembly,2025-09-22,Backlight failure,463,260.09,Replaced
WC-00199,AP1-FAN-0269,AeroBook Pro 14,Cooling Fan,2024-05-23,Loud grinding noise,613,223.05,Refunded
